DATA_DATE,VALUE,ROLLING_MAX_12M,ROLLING_MIN_12M
2020-03-30,2626.65,2626.65,2626.65
2020-03-31,2584.59,2626.65,2584.59
2020-04-01,2470.5,2626.65,2470.5
2020-04-02,2526.9,2626.65,2470.5
2020-04-03,2488.65,2626.65,2470.5
2020-04-06,2663.68,2663.68,2470.5
2020-04-07,2659.41,2663.68,2470.5
2020-04-08,2749.98,2749.98,2470.5
2020-04-09,2789.82,2789.82,2470.5
2020-04-10,,2789.82,2470.5
2020-04-13,2761.63,2789.82,2470.5
2020-04-14,2846.06,2846.06,2470.5
2020-04-15,2783.36,2846.06,2470.5
2020-04-16,2799.55,2846.06,2470.5
2020-04-17,2874.56,2874.56,2470.5
2020-04-20,2823.16,2874.56,2470.5
2020-04-21,2736.56,2874.56,2470.5
2020-04-22,2799.31,2874.56,2470.5
2020-04-23,2797.8,2874.56,2470.5
2020-04-24,2836.74,2874.56,2470.5
2020-04-27,2878.48,2878.48,2470.5
2020-04-28,2863.39,2878.48,2470.5
2020-04-29,2939.51,2939.51,2470.5
2020-04-30,2912.43,2939.51,2470.5
2020-05-01,2830.71,2939.51,2470.5
2020-05-04,2842.74,2939.51,2470.5
2020-05-05,2868.44,2939.51,2470.5
2020-05-06,2848.42,2939.51,2470.5
2020-05-07,2881.19,2939.51,2470.5
2020-05-08,2929.8,2939.51,2470.5
2020-05-11,2930.32,2939.51,2470.5
2020-05-12,2870.12,2939.51,2470.5
2020-05-13,2820.0,2939.51,2470.5
2020-05-14,2852.5,2939.51,2470.5
2020-05-15,2863.7,2939.51,2470.5
2020-05-18,2953.91,2953.91,2470.5
2020-05-19,2922.94,2953.91,2470.5
2020-05-20,2971.61,2971.61,2470.5
2020-05-21,2948.51,2971.61,2470.5
2020-05-22,2955.45,2971.61,2470.5
2020-05-25,,2971.61,2470.5
2020-05-26,2991.77,2991.77,2470.5
2020-05-27,3036.13,3036.13,2470.5
2020-05-28,3029.73,3036.13,2470.5
2020-05-29,3044.31,3044.31,2470.5
2020-06-01,3055.73,3055.73,2470.5
2020-06-02,3080.82,3080.82,2470.5
2020-06-03,3122.87,3122.87,2470.5
2020-06-04,3112.35,3122.87,2470.5
2020-06-05,3193.93,3193.93,2470.5
2020-06-08,3232.39,3232.39,2470.5
2020-06-09,3207.18,3232.39,2470.5
2020-06-10,3190.14,3232.39,2470.5
2020-06-11,3002.1,3232.39,2470.5
2020-06-12,3041.31,3232.39,2470.5
2020-06-15,3066.59,3232.39,2470.5
2020-06-16,3124.74,3232.39,2470.5
2020-06-17,3113.49,3232.39,2470.5
2020-06-18,3115.34,3232.39,2470.5
2020-06-19,3097.74,3232.39,2470.5
